id,lastnik,cena,vrsta,lokacija
583,Emily Johnson,7644563,stanovanje,Kamnik
584,Michael Davis,437863,stanovanje,Koper
585,Emily Johnson,8413138,zemljisce,Kamnik
586,John Smith,419900,zemljisce,Kamnik
587,Emma Wilson,9598389,stanovanje,Novo Mesto
588,Daniel Brown,8857100,stanovanje,Velenje
589,Daniel Brown,4008297,stanovanje,Trbovlje
590,Emily Johnson,4456113,hisa,Ljubljana
591,Emily Johnson,1687951,hisa,Trbovlje
592,John Smith,5957225,zemljisce,Ljubljana
593,Daniel Brown,6341394,zemljisce,Maribor
594,Daniel Brown,2171978,zemljisce,Ptuj
595,Daniel Brown,4366581,stanovanje,Kamnik
596,Michael Davis,1839954,stanovanje,Ptuj
597,Michael Davis,2803316,zemljisce,Velenje
598,Michael Davis,2987780,stanovanje,Koper
599,Emily Johnson,4728937,hisa,Ljubljana
600,Daniel Brown,4989663,zemljisce,Kranj
601,Daniel Brown,4144523,hisa,Trbovlje
602,Emma Wilson,9500957,stanovanje,Novo Mesto
603,Emma Wilson,9928719,hisa,Maribor
604,Emma Wilson,9807559,zemljisce,Ptuj
605,Emily Johnson,2911769,stanovanje,Maribor
606,Emily Johnson,9555295,stanovanje,Trbovlje
607,Emily Johnson,3978992,stanovanje,Ljubljana
608,John Smith,1837422,stanovanje,Novo Mesto
609,Emily Johnson,933713,stanovanje,Celje
610,Michael Davis,1032791,hisa,Celje
611,Emily Johnson,5491359,stanovanje,Trbovlje
612,Emily Johnson,7046131,hisa,Kranj
613,Michael Davis,7616638,zemljisce,Maribor
614,Daniel Brown,466956,zemljisce,Celje
615,Emma Wilson,2708291,hisa,Ptuj
616,John Smith,593280,zemljisce,Kranj
617,Michael Davis,6865522,stanovanje,Ptuj
618,Michael Davis,9499729,hisa,Celje
619,Emma Wilson,4776103,stanovanje,Maribor
620,Michael Davis,9443885,zemljisce,Ptuj
621,Emma Wilson,1271723,stanovanje,Koper
622,John Smith,7708927,stanovanje,Kranj
623,Michael Davis,1234492,hisa,Trbovlje
624,Daniel Brown,6357981,zemljisce,Trbovlje
625,Daniel Brown,3983016,hisa,Kamnik
626,Michael Davis,2560208,stanovanje,Kamnik
627,Emma Wilson,5601334,hisa,Ljubljana
628,Emily Johnson,1555125,hisa,Velenje
629,Emma Wilson,9918691,hisa,Ptuj
630,Daniel Brown,3541010,hisa,Ljubljana
631,Daniel Brown,2167185,stanovanje,Velenje
632,Emily Johnson,201393,zemljisce,Trbovlje
633,Emily Johnson,4768613,hisa,Ljubljana
634,Emma Wilson,8647190,stanovanje,Kamnik
635,John Smith,3023333,stanovanje,Velenje
636,Emily Johnson,3783406,stanovanje,Kranj
637,Michael Davis,5300635,stanovanje,Velenje
638,Emma Wilson,6476667,zemljisce,Velenje
639,Michael Davis,5392677,zemljisce,Maribor
640,Daniel Brown,9385643,zemljisce,Novo Mesto
641,Emily Johnson,1239807,stanovanje,Novo Mesto
642,Daniel Brown,5782058,hisa,Novo Mesto
643,Michael Davis,7440672,stanovanje,Ptuj
644,Daniel Brown,7039248,zemljisce,Celje
645,Daniel Brown,9026178,hisa,Kranj
646,Emma Wilson,466313,stanovanje,Kranj
647,Daniel Brown,1025068,zemljisce,Ptuj
648,Emma Wilson,6887606,hisa,Kranj
649,Emma Wilson,2862619,stanovanje,Trbovlje
650,Emily Johnson,4636474,stanovanje,Ptuj
651,Emma Wilson,2003452,zemljisce,Trbovlje
652,Emily Johnson,6891366,hisa,Maribor
653,Emily Johnson,2094940,hisa,Celje
654,Emma Wilson,3688623,hisa,Trbovlje
655,Emma Wilson,6864565,stanovanje,Trbovlje
656,John Smith,6276411,zemljisce,Ljubljana
657,Emily Johnson,4056804,stanovanje,Maribor
658,Daniel Brown,6593263,hisa,Maribor
659,Daniel Brown,3365715,stanovanje,Celje
660,Emily Johnson,1528084,zemljisce,Novo Mesto
661,Emma Wilson,4609644,stanovanje,Velenje
662,Emma Wilson,2292094,stanovanje,Kranj
663,Emma Wilson,5517948,zemljisce,Ptuj
664,Michael Davis,9770524,zemljisce,Trbovlje
665,Michael Davis,3226868,hisa,Velenje
666,Michael Davis,3181996,stanovanje,Ljubljana
667,Emily Johnson,1510497,zemljisce,Ljubljana
668,Michael Davis,740702,hisa,Novo Mesto
669,Emma Wilson,8399588,zemljisce,Ptuj
670,Michael Davis,5639095,stanovanje,Ljubljana
671,John Smith,4193218,zemljisce,Ljubljana
672,John Smith,9902870,stanovanje,Celje
673,Daniel Brown,6008075,stanovanje,Velenje
674,Michael Davis,9824486,stanovanje,Maribor
675,Michael Davis,704363,hisa,Kamnik
676,John Smith,4261324,hisa,Kamnik
677,Michael Davis,9788996,zemljisce,Trbovlje
678,Emily Johnson,8425754,hisa,Novo Mesto
679,Emma Wilson,2524252,hisa,Koper
680,Emma Wilson,4494739,hisa,Maribor
681,John Smith,2755842,stanovanje,Maribor
682,Michael Davis,3824773,zemljisce,Maribor
683,Michael Davis,2341873,zemljisce,Celje
684,Daniel Brown,4259979,stanovanje,Koper
685,Daniel Brown,1171707,zemljisce,Celje
686,John Smith,3740484,stanovanje,Koper
687,Emma Wilson,5066741,stanovanje,Novo Mesto
688,John Smith,5379778,hisa,Koper
689,Michael Davis,7927439,hisa,Trbovlje
690,John Smith,5731357,stanovanje,Novo Mesto
691,Michael Davis,8758796,hisa,Maribor
692,Emma Wilson,8172684,stanovanje,Ptuj
693,Michael Davis,7061105,zemljisce,Ptuj
694,Emily Johnson,4866138,zemljisce,Velenje
695,Emma Wilson,6490995,hisa,Velenje
696,Emma Wilson,7710608,stanovanje,Celje
697,Daniel Brown,8959869,zemljisce,Kranj
698,Emily Johnson,2061648,stanovanje,Celje
699,John Smith,5190894,stanovanje,Trbovlje
700,Emma Wilson,9090208,zemljisce,Novo Mesto
701,John Smith,2545788,zemljisce,Ptuj
702,Michael Davis,7172064,zemljisce,Kamnik
703,Emily Johnson,664692,zemljisce,Kamnik
704,John Smith,2330917,hisa,Celje
705,John Smith,3702245,zemljisce,Koper
706,John Smith,4586610,stanovanje,Novo Mesto
707,John Smith,3122751,stanovanje,Koper
708,Emily Johnson,2988325,hisa,Maribor
709,Emily Johnson,1515776,stanovanje,Ptuj
710,Daniel Brown,4431458,zemljisce,Velenje
711,Daniel Brown,2673319,hisa,Velenje
712,John Smith,5572627,stanovanje,Kamnik
713,Daniel Brown,6193954,stanovanje,Trbovlje
714,John Smith,1725277,stanovanje,Velenje
715,Michael Davis,9747482,zemljisce,Ljubljana
716,Daniel Brown,1411612,hisa,Ljubljana
717,Emily Johnson,3594857,zemljisce,Kamnik
718,John Smith,3549597,zemljisce,Koper
719,Emily Johnson,2941424,stanovanje,Trbovlje
720,Emma Wilson,8147225,hisa,Kranj
721,Emma Wilson,3072541,stanovanje,Celje
722,Michael Davis,7982733,zemljisce,Koper
723,Emily Johnson,6352038,stanovanje,Ljubljana
724,Emily Johnson,663368,hisa,Maribor
725,Emily Johnson,2663935,stanovanje,Kamnik
726,Michael Davis,3017504,zemljisce,Trbovlje
727,Michael Davis,3638194,stanovanje,Maribor
728,Daniel Brown,6661860,stanovanje,Kranj
729,Daniel Brown,6735342,zemljisce,Maribor
730,Emily Johnson,8407889,zemljisce,Trbovlje
731,Emily Johnson,4957093,zemljisce,Trbovlje
732,Michael Davis,6389349,stanovanje,Koper
733,Emily Johnson,7073463,stanovanje,Ljubljana
734,Daniel Brown,3962073,zemljisce,Novo Mesto
735,John Smith,4550796,zemljisce,Ljubljana
736,Emily Johnson,1957489,hisa,Ljubljana
737,Emily Johnson,1581610,zemljisce,Maribor
738,Daniel Brown,710122,zemljisce,Koper
739,Emma Wilson,8477147,hisa,Velenje
740,Michael Davis,4871421,stanovanje,Trbovlje
741,Emma Wilson,647917,hisa,Velenje
742,Emma Wilson,8691111,stanovanje,Koper
743,Michael Davis,9275669,hisa,Kranj
744,Daniel Brown,1014741,hisa,Velenje
745,Emily Johnson,486249,zemljisce,Maribor
746,John Smith,487516,zemljisce,Ptuj
747,John Smith,4550967,zemljisce,Kamnik
748,Emily Johnson,379667,zemljisce,Novo Mesto
749,Daniel Brown,3510847,stanovanje,Kranj
750,Michael Davis,1356347,stanovanje,Maribor
751,Michael Davis,5933568,zemljisce,Ljubljana
752,John Smith,71879,zemljisce,Novo Mesto
753,John Smith,7819025,zemljisce,Koper
754,Emma Wilson,4266302,zemljisce,Ptuj
755,Emily Johnson,1943733,stanovanje,Kamnik
756,Daniel Brown,8403431,hisa,Novo Mesto
757,Daniel Brown,3979861,zemljisce,Kranj
758,Emma Wilson,2329250,stanovanje,Velenje
759,John Smith,4725616,stanovanje,Novo Mesto
760,Emma Wilson,1557168,stanovanje,Ljubljana
761,Daniel Brown,6327065,hisa,Kamnik
762,Daniel Brown,8288544,hisa,Ljubljana
763,Daniel Brown,552528,stanovanje,Koper
764,Emma Wilson,3173746,hisa,Koper
765,Daniel Brown,5525352,hisa,Ptuj
766,Michael Davis,4127964,zemljisce,Koper
767,John Smith,1861606,zemljisce,Ptuj
768,Emma Wilson,444307,stanovanje,Koper
769,John Smith,6964259,zemljisce,Kranj
770,John Smith,7928212,zemljisce,Celje
771,Michael Davis,2283328,hisa,Velenje
772,John Smith,9285940,zemljisce,Trbovlje
773,Emma Wilson,2806377,zemljisce,Ptuj
774,Emily Johnson,4570275,hisa,Celje
775,Daniel Brown,3381449,stanovanje,Koper
776,Michael Davis,900374,stanovanje,Trbovlje
777,Emma Wilson,6215666,zemljisce,Ljubljana
778,John Smith,2197171,zemljisce,Celje
779,John Smith,195219,hisa,Maribor
780,Emma Wilson,3980431,stanovanje,Ptuj
781,Daniel Brown,3959168,zemljisce,Novo Mesto
782,Daniel Brown,8410331,stanovanje,Ptuj
783,Emily Johnson,4118062,zemljisce,Ljubljana
784,Emily Johnson,5669214,stanovanje,Koper
785,Emma Wilson,7428908,stanovanje,Kranj
786,John Smith,6630716,zemljisce,Velenje
787,Daniel Brown,6203030,hisa,Kranj
788,Emily Johnson,7167550,hisa,Velenje
789,Emma Wilson,4957717,stanovanje,Kranj
790,Emma Wilson,7307549,stanovanje,Ljubljana
791,John Smith,1370402,hisa,Kamnik
792,Emma Wilson,6530648,zemljisce,Celje
793,Michael Davis,1478150,stanovanje,Kranj
794,Michael Davis,2088445,stanovanje,Novo Mesto
795,Emma Wilson,7145409,stanovanje,Ptuj
796,Michael Davis,5450640,hisa,Velenje
797,Michael Davis,5147395,hisa,Velenje
798,Emma Wilson,6418189,stanovanje,Ljubljana
799,John Smith,6035940,stanovanje,Kamnik
800,John Smith,9265626,hisa,Maribor
801,Michael Davis,7408944,hisa,Koper
802,Emily Johnson,9953696,hisa,Kranj
803,Emma Wilson,2838503,zemljisce,Trbovlje
804,Daniel Brown,5769364,zemljisce,Kamnik
805,Emma Wilson,8416116,hisa,Maribor
806,Michael Davis,9255260,hisa,Koper
807,Emma Wilson,4707070,hisa,Ptuj
808,Emily Johnson,724506,zemljisce,Trbovlje
809,John Smith,55827,stanovanje,Kranj
810,Emma Wilson,367230,stanovanje,Kranj
811,Emily Johnson,6649583,stanovanje,Kamnik
812,Emily Johnson,3758558,hisa,Ptuj
813,Emily Johnson,6705659,stanovanje,Velenje
814,Emily Johnson,8620319,zemljisce,Kranj
815,Daniel Brown,7980295,zemljisce,Maribor
816,Michael Davis,2188834,stanovanje,Kamnik
817,Daniel Brown,1144017,hisa,Novo Mesto
818,Michael Davis,7512472,zemljisce,Trbovlje
819,Emma Wilson,1973448,hisa,Kamnik
820,Michael Davis,9856962,zemljisce,Kranj
821,Emma Wilson,5332905,stanovanje,Ljubljana
822,Daniel Brown,8184506,zemljisce,Ptuj
823,Emma Wilson,3052179,zemljisce,Maribor
824,Daniel Brown,1656407,hisa,Maribor
825,Michael Davis,6728781,stanovanje,Celje
826,Daniel Brown,9694293,stanovanje,Kranj
827,Emma Wilson,3283912,hisa,Ptuj
828,Emma Wilson,7480591,stanovanje,Velenje
829,Emma Wilson,975009,stanovanje,Koper
830,Emma Wilson,1295329,stanovanje,Koper
831,Daniel Brown,4613785,zemljisce,Maribor
832,John Smith,3713573,zemljisce,Kamnik
833,Daniel Brown,4285120,hisa,Maribor
834,Emily Johnson,6324154,stanovanje,Celje
835,Emma Wilson,7906430,stanovanje,Koper
836,Emma Wilson,4214261,hisa,Kranj
837,John Smith,3372551,hisa,Ljubljana
838,Emily Johnson,5768191,zemljisce,Velenje
839,Daniel Brown,7917787,stanovanje,Trbovlje
840,Emma Wilson,277263,stanovanje,Maribor
841,John Smith,6538154,hisa,Maribor
842,Emily Johnson,9318102,stanovanje,Maribor
843,Daniel Brown,1270227,hisa,Velenje
844,Emily Johnson,4913067,hisa,Ptuj
845,John Smith,6281004,stanovanje,Kranj
846,Emma Wilson,7452266,stanovanje,Velenje
847,Emily Johnson,6210811,stanovanje,Ptuj
848,Daniel Brown,5489671,hisa,Celje
849,John Smith,6065561,hisa,Novo Mesto
850,Emma Wilson,1361495,hisa,Ljubljana
851,Emily Johnson,8723349,stanovanje,Celje
852,Michael Davis,4648915,hisa,Kamnik
853,Michael Davis,9805378,hisa,Maribor
854,Michael Davis,1076632,hisa,Novo Mesto
855,Michael Davis,5929182,hisa,Koper
856,Emma Wilson,8822512,stanovanje,Ptuj
857,Michael Davis,5078095,zemljisce,Novo Mesto
858,Daniel Brown,2097201,stanovanje,Ljubljana
859,John Smith,8038250,zemljisce,Ptuj
860,Daniel Brown,89546,hisa,Maribor
861,Michael Davis,1469029,hisa,Celje
862,John Smith,6222794,stanovanje,Kranj
863,Daniel Brown,8548962,zemljisce,Trbovlje
864,John Smith,4338618,zemljisce,Koper
865,Michael Davis,4423779,stanovanje,Ptuj
866,John Smith,1421315,zemljisce,Celje
867,Emma Wilson,5243386,hisa,Kamnik
868,Michael Davis,4182741,zemljisce,Maribor
869,Emily Johnson,1712145,zemljisce,Koper
870,Emily Johnson,177783,stanovanje,Kamnik
871,John Smith,3742257,stanovanje,Kamnik
872,Michael Davis,1621300,hisa,Novo Mesto
873,John Smith,7975958,zemljisce,Trbovlje
874,Daniel Brown,9290571,stanovanje,Trbovlje
875,Michael Davis,4780435,hisa,Maribor
876,John Smith,9922364,hisa,Ljubljana
877,Emma Wilson,7786771,stanovanje,Kamnik
878,Daniel Brown,4962632,hisa,Koper
879,Michael Davis,7809817,zemljisce,Kranj
880,Michael Davis,4590492,stanovanje,Ptuj
881,John Smith,3831917,hisa,Novo Mesto
882,John Smith,9048046,zemljisce,Koper
883,John Smith,9575939,stanovanje,Ptuj
884,Michael Davis,818116,stanovanje,Velenje
885,Daniel Brown,9876548,stanovanje,Kranj
886,Emma Wilson,4930913,stanovanje,Ptuj
887,Michael Davis,3863095,zemljisce,Novo Mesto
888,Michael Davis,204493,zemljisce,Kranj
889,Emily Johnson,9886651,hisa,Ljubljana
890,John Smith,2596535,hisa,Ljubljana
891,Emily Johnson,9187279,zemljisce,Novo Mesto
892,John Smith,1041643,zemljisce,Kranj
893,Michael Davis,7775595,hisa,Ljubljana
894,Emily Johnson,2952810,stanovanje,Koper
895,Daniel Brown,7523329,hisa,Ptuj
896,Emily Johnson,2878281,zemljisce,Celje
897,Michael Davis,8908273,zemljisce,Ljubljana
898,Emily Johnson,6909644,hisa,Koper
899,Emily Johnson,6502008,stanovanje,Velenje
900,Michael Davis,3626519,hisa,Kranj
901,Michael Davis,5143890,zemljisce,Velenje
902,Emma Wilson,6166505,zemljisce,Trbovlje
903,John Smith,7126294,hisa,Celje
904,Daniel Brown,9865305,stanovanje,Koper
905,Michael Davis,7049085,hisa,Novo Mesto
906,Emma Wilson,3340868,stanovanje,Koper
907,Emily Johnson,332081,stanovanje,Ptuj
908,John Smith,8808748,hisa,Celje
909,Emma Wilson,9112565,zemljisce,Maribor
910,Daniel Brown,2152068,hisa,Novo Mesto
911,Emily Johnson,5029141,zemljisce,Velenje
912,Emily Johnson,4588755,zemljisce,Maribor
913,Emily Johnson,1614398,stanovanje,Kamnik
914,Michael Davis,6917660,hisa,Velenje
915,Daniel Brown,2041782,hisa,Trbovlje
916,Emma Wilson,5655594,zemljisce,Ptuj
917,Daniel Brown,5487406,stanovanje,Maribor
918,Emma Wilson,7989636,zemljisce,Koper
919,Daniel Brown,4211273,zemljisce,Trbovlje
920,Michael Davis,3007576,stanovanje,Novo Mesto
921,John Smith,6441691,stanovanje,Velenje
922,Emily Johnson,8887634,stanovanje,Novo Mesto
923,Daniel Brown,9895768,hisa,Trbovlje
924,Emma Wilson,7850773,hisa,Trbovlje
925,Emma Wilson,1671652,stanovanje,Trbovlje
926,Emily Johnson,2818335,hisa,Trbovlje
927,Daniel Brown,4811430,stanovanje,Trbovlje
928,Daniel Brown,7932930,stanovanje,Novo Mesto
929,Emma Wilson,6015494,zemljisce,Ljubljana
930,Emily Johnson,5545517,stanovanje,Trbovlje
931,Emily Johnson,5807782,stanovanje,Kamnik
932,Emma Wilson,5513057,stanovanje,Novo Mesto
933,Daniel Brown,4039678,hisa,Celje
934,Emily Johnson,2651598,zemljisce,Koper
935,Emily Johnson,93522,zemljisce,Kamnik
936,Daniel Brown,183459,hisa,Ptuj
937,Emma Wilson,7838772,stanovanje,Ptuj
938,Michael Davis,3924778,stanovanje,Koper
939,John Smith,7281686,zemljisce,Kamnik
940,John Smith,1418604,hisa,Velenje
941,Emma Wilson,7731436,hisa,Ljubljana
942,Emily Johnson,5407693,stanovanje,Novo Mesto
943,Daniel Brown,5463092,zemljisce,Celje
944,Emily Johnson,8478391,zemljisce,Maribor
945,John Smith,4426522,stanovanje,Celje
946,Michael Davis,7326349,hisa,Ptuj
947,Emily Johnson,1514954,zemljisce,Koper
948,Emily Johnson,4037442,zemljisce,Koper
949,Daniel Brown,4124299,zemljisce,Novo Mesto
950,Emma Wilson,7065767,hisa,Ljubljana
951,Emma Wilson,6724300,zemljisce,Celje
952,Michael Davis,6282799,hisa,Kranj
953,Emily Johnson,7926681,zemljisce,Maribor
954,John Smith,6733827,hisa,Maribor
955,John Smith,9174968,hisa,Velenje
956,Daniel Brown,8737026,stanovanje,Trbovlje
957,Daniel Brown,8409438,hisa,Trbovlje
958,Emma Wilson,3577185,zemljisce,Celje
959,Emily Johnson,365528,zemljisce,Novo Mesto
960,John Smith,5567678,hisa,Velenje
961,John Smith,9809360,stanovanje,Maribor
962,Daniel Brown,7673873,zemljisce,Kamnik
963,Emily Johnson,5579322,stanovanje,Trbovlje
964,Emma Wilson,474116,hisa,Ptuj
965,Emily Johnson,7535017,zemljisce,Celje
966,Michael Davis,2187700,zemljisce,Celje
967,Emma Wilson,6173095,hisa,Velenje
968,Emily Johnson,7384785,stanovanje,Novo Mesto
969,Emily Johnson,2283387,stanovanje,Velenje
970,Emily Johnson,2016285,zemljisce,Kamnik
971,Emma Wilson,8280629,zemljisce,Maribor
972,Michael Davis,7140492,stanovanje,Ptuj
973,Daniel Brown,7018741,stanovanje,Kamnik
974,Emma Wilson,6623592,stanovanje,Ptuj
975,Emily Johnson,4399447,stanovanje,Maribor
976,Emily Johnson,8283064,stanovanje,Ljubljana
977,John Smith,5121062,stanovanje,Celje
978,Emily Johnson,7873954,hisa,Celje
979,Daniel Brown,5351245,zemljisce,Kranj
980,Emily Johnson,1279708,stanovanje,Trbovlje
981,Daniel Brown,3332237,zemljisce,Ptuj
982,Emma Wilson,595537,zemljisce,Ptuj
983,Emma Wilson,4784160,hisa,Maribor
984,Michael Davis,9607274,hisa,Velenje
985,Michael Davis,6714978,zemljisce,Koper
986,Emily Johnson,1967342,hisa,Novo Mesto
987,Emily Johnson,8015286,stanovanje,Maribor
988,Emma Wilson,149669,zemljisce,Ptuj
989,Michael Davis,1799006,zemljisce,Velenje
990,Emily Johnson,9456922,stanovanje,Koper
991,Michael Davis,5977114,zemljisce,Koper
992,Emma Wilson,1926420,stanovanje,Ljubljana
993,Daniel Brown,4343100,zemljisce,Velenje
994,Emily Johnson,2113339,hisa,Ljubljana
995,John Smith,8469577,hisa,Velenje
996,Daniel Brown,3509352,zemljisce,Ptuj
997,John Smith,3522000,zemljisce,Kranj
998,Michael Davis,1810073,zemljisce,Celje
999,Emily Johnson,2867980,stanovanje,Ptuj
1000,Emma Wilson,4984183,stanovanje,Koper
